ResponseId,Country,Age,EdLevel
191,Canada,55-64 years old,Some College
192,Bulgaria,35-44 years old,Some College
196,India,25-34 years old,Master
200,India,45-54 years old,Master
205,USA,25-34 years old,Some College
208,France,18-24 years old,Bachelor
209,Netherlands,25-34 years old,Bachelor
210,USA,25-34 years old,Bachelor
211,France,25-34 years old,Master
212,UK,55-64 years old,Bachelor
215,Dominican Republic,35-44 years old,Professional
216,USA,25-34 years old,Bachelor
218,Brazil,25-34 years old,Secondary school
223,France,35-44 years old,Master
226,Germany,25-34 years old,Secondary school
230,USA,45-54 years old,Professional
235,India,35-44 years old,Some College
238,Poland,35-44 years old,Master
242,USA,45-54 years old,Some College
243,Morocco,18-24 years old,Master
254,Switzerland,35-44 years old,Bachelor
256,Brazil,35-44 years old,Some College
262,Sweden,35-44 years old,Bachelor
263,Austria,35-44 years old,Master
274,USA,45-54 years old,Bachelor
275,Russia,18-24 years old,Bachelor
276,UK,25-34 years old,Bachelor
280,USA,35-44 years old,Bachelor
281,Switzerland,25-34 years old,Bachelor
284,Tunisia,18-24 years old,Bachelor
285,UK,35-44 years old,Bachelor
293,USA,55-64 years old,Bachelor
299,Bangladesh,25-34 years old,Bachelor
300,UK,45-54 years old,Some College
311,Ukraine,25-34 years old,Some College
315,Germany,35-44 years old,Bachelor
318,Bangladesh,25-34 years old,Bachelor
320,Portugal,25-34 years old,Professional
324,Ukraine,25-34 years old,Some College
326,Germany,35-44 years old,Some College
331,USA,18-24 years old,Bachelor
333,USA,35-44 years old,Master
341,Pakistan,25-34 years old,Bachelor
342,USA,45-54 years old,Bachelor
347,Viet Nam,35-44 years old,Bachelor
351,USA,35-44 years old,Associate degree
352,India,25-34 years old,Bachelor
353,France,55-64 years old,Master
355,Belgium,35-44 years old,Bachelor
358,Romania,45-54 years old,Some College
359,UK,45-54 years old,Master
360,USA,45-54 years old,Bachelor
367,UK,35-44 years old,Bachelor
372,Turkey,35-44 years old,Bachelor
373,UK,25-34 years old,Bachelor
378,Brazil,35-44 years old,Bachelor
380,Turkey,35-44 years old,Master
385,USA,35-44 years old,Some College
386,France,35-44 years old,Master
389,Spain,35-44 years old,Master
391,Germany,35-44 years old,Master
393,UK,35-44 years old,Professional
395,India,25-34 years old,Bachelor
399,USA,45-54 years old,Some College
400,Ukraine,18-24 years old,Bachelor
408,India,18-24 years old,Bachelor
411,USA,45-54 years old,Professional
412,Italy,55-64 years old,Master
413,USA,25-34 years old,Bachelor
417,Brazil,35-44 years old,Master
419,Philippines,35-44 years old,Bachelor
421,Portugal,35-44 years old,Master
430,Sweden,35-44 years old,Master
432,USA,35-44 years old,Bachelor
433,USA,35-44 years old,Secondary school
434,USA,35-44 years old,Master
444,UK,35-44 years old,Bachelor
445,UK,25-34 years old,Bachelor
450,UK,25-34 years old,Master
452,South Africa,25-34 years old,Some College
453,Chile,25-34 years old,Bachelor
454,UK,65 years or older,Master
464,UK,25-34 years old,Secondary school
466,Italy,45-54 years old,Some College
469,Germany,35-44 years old,Master
471,USA,45-54 years old,Bachelor
475,Ghana,35-44 years old,Bachelor
480,Brazil,25-34 years old,Bachelor
484,Ukraine,25-34 years old,Master
486,USA,25-34 years old,Associate degree
489,Russia,35-44 years old,Master
492,France,35-44 years old,Some College
493,Canada,35-44 years old,Bachelor
494,Israel,45-54 years old,Bachelor
495,USA,45-54 years old,Bachelor
497,USA,35-44 years old,Professional
499,USA,55-64 years old,Bachelor
500,USA,45-54 years old,Bachelor
502,Ukraine,25-34 years old,Master
506,Germany,35-44 years old,Some College
507,UK,45-54 years old,Secondary school
509,UK,45-54 years old,Bachelor
511,USA,35-44 years old,Bachelor
515,USA,35-44 years old,Bachelor
523,USA,35-44 years old,Master
529,USA,45-54 years old,Bachelor
531,Germany,35-44 years old,Master
533,USA,25-34 years old,Some College
535,Bolivia,35-44 years old,Bachelor
543,Morocco,18-24 years old,Master
546,USA,35-44 years old,Secondary school
548,India,18-24 years old,Bachelor
549,India,25-34 years old,Master
553,Luxembourg,35-44 years old,Master
554,Georgia,35-44 years old,Bachelor
557,Greece,25-34 years old,Bachelor
562,Ireland,18-24 years old,Bachelor
565,Saudi Arabia,35-44 years old,Bachelor
567,USA,35-44 years old,Master
570,Brazil,25-34 years old,Bachelor
571,USA,35-44 years old,Bachelor
573,USA,55-64 years old,Bachelor
574,USA,25-34 years old,Bachelor
577,Germany,35-44 years old,Bachelor
580,USA,45-54 years old,Bachelor
585,Bangladesh,35-44 years old,Bachelor
588,USA,65 years or older,Bachelor
589,USA,18-24 years old,Other
591,India,35-44 years old,Master
593,USA,35-44 years old,Associate degree
595,USA,25-34 years old,Bachelor
601,Algeria,25-34 years old,Master
603,Ukraine,18-24 years old,Master
604,UK,35-44 years old,Bachelor
607,USA,55-64 years old,Bachelor
608,Switzerland,25-34 years old,Bachelor
609,USA,25-34 years old,Secondary school
613,Spain,25-34 years old,Master
614,India,18-24 years old,Bachelor
619,UK,35-44 years old,Master
620,Italy,18-24 years old,Associate degree
621,USA,25-34 years old,Bachelor
624,Sweden,35-44 years old,Some College
632,Switzerland,18-24 years old,Secondary school
641,Ireland,45-54 years old,Some College
642,Germany,35-44 years old,Professional
643,USA,55-64 years old,Bachelor
645,USA,45-54 years old,Bachelor
647,Bulgaria,35-44 years old,Some College
650,Lithuania,25-34 years old,Master
651,Italy,25-34 years old,Bachelor
654,Kazakhstan,25-34 years old,Master
655,UK,18-24 years old,Secondary school
657,Netherlands,55-64 years old,Master
663,Romania,35-44 years old,Some College
666,India,25-34 years old,Master
670,USA,18-24 years old,Bachelor
672,USA,35-44 years old,Master
674,Germany,35-44 years old,Some College
675,USA,35-44 years old,Some College
687,India,18-24 years old,Master
688,Brazil,18-24 years old,Some College
690,Italy,25-34 years old,Bachelor
691,USA,55-64 years old,Bachelor
692,France,25-34 years old,Master
695,Netherlands,45-54 years old,Some College
698,India,18-24 years old,Bachelor
699,Ukraine,18-24 years old,Bachelor
700,Germany,45-54 years old,Master
701,Canada,25-34 years old,Associate degree
704,USA,45-54 years old,Bachelor
705,Jordan,25-34 years old,Bachelor
709,USA,35-44 years old,Master
715,USA,35-44 years old,Bachelor
723,India,18-24 years old,Bachelor
727,Chile,35-44 years old,Bachelor
728,UK,35-44 years old,Master
729,Italy,35-44 years old,Bachelor
731,USA,25-34 years old,Bachelor
735,Czech Republic,25-34 years old,Secondary school
738,Ukraine,25-34 years old,Master
741,USA,45-54 years old,Bachelor
744,Turkey,35-44 years old,Master
745,Netherlands,25-34 years old,Master
760,Austria,25-34 years old,Secondary school
763,USA,18-24 years old,Some College
767,Ukraine,25-34 years old,Master
770,Poland,35-44 years old,Master
772,Italy,45-54 years old,Some College
773,Ukraine,18-24 years old,Bachelor
779,Canada,35-44 years old,Master
780,Canada,25-34 years old,Bachelor
782,USA,35-44 years old,Master
788,UK,35-44 years old,Professional
790,Ukraine,35-44 years old,Master
791,UK,45-54 years old,Some College
797,Venezuela,25-34 years old,Bachelor
808,USA,25-34 years old,Bachelor
811,USA,55-64 years old,Some College
813,India,25-34 years old,Bachelor
814,Poland,35-44 years old,Other
816,Italy,25-34 years old,Associate degree
820,Denmark,65 years or older,Bachelor
824,USA,35-44 years old,Bachelor
825,USA,25-34 years old,Master
826,India,25-34 years old,Bachelor
827,Sweden,35-44 years old,Master
829,USA,35-44 years old,Master
832,USA,45-54 years old,Associate degree
834,South Africa,35-44 years old,Master
844,USA,18-24 years old,Bachelor
848,Portugal,25-34 years old,Professional
849,Ukraine,25-34 years old,Master
852,Austria,35-44 years old,Other
857,UK,25-34 years old,Master
859,UK,45-54 years old,Some College
861,Nicaragua,35-44 years old,Bachelor
862,USA,35-44 years old,Bachelor
870,USA,35-44 years old,Master
874,Germany,45-54 years old,Master
880,Thailand,35-44 years old,Master
883,Switzerland,25-34 years old,Associate degree
884,Serbia,45-54 years old,Master
887,USA,18-24 years old,Bachelor
888,India,25-34 years old,Bachelor
891,Portugal,35-44 years old,Some College
901,Brazil,25-34 years old,Bachelor
902,India,35-44 years old,Bachelor
907,Ukraine,25-34 years old,Master
909,Ukraine,18-24 years old,Master
913,Israel,25-34 years old,Bachelor
916,Hungary,25-34 years old,Bachelor
919,USA,65 years or older,Other
924,Germany,35-44 years old,Professional
926,USA,25-34 years old,Bachelor
928,Russia,25-34 years old,Bachelor
932,USA,35-44 years old,Bachelor
935,Spain,25-34 years old,Master
938,USA,25-34 years old,Associate degree
944,Bangladesh,35-44 years old,Master
946,Croatia,45-54 years old,Some College
948,India,25-34 years old,Bachelor
953,Canada,35-44 years old,Master
954,Indonesia,25-34 years old,Master
957,Denmark,35-44 years old,Master
958,France,45-54 years old,Master
960,Netherlands,25-34 years old,Master
961,South Africa,25-34 years old,Some College
964,Netherlands,25-34 years old,Some College
965,Japan,25-34 years old,Bachelor
978,USA,25-34 years old,Bachelor
982,USA,25-34 years old,Bachelor
988,USA,25-34 years old,Some College
989,USA,35-44 years old,Master
991,USA,45-54 years old,Bachelor
1001,Saudi Arabia,35-44 years old,Master
1003,USA,45-54 years old,Bachelor
1004,UK,25-34 years old,Associate degree
1010,USA,35-44 years old,Bachelor
1018,Germany,18-24 years old,Secondary school
1019,Mexico,35-44 years old,Bachelor
1020,USA,55-64 years old,Bachelor
1021,Ukraine,25-34 years old,Bachelor
1025,USA,35-44 years old,Primary
1026,USA,35-44 years old,Some College
1029,Philippines,25-34 years old,Bachelor
1030,Ukraine,35-44 years old,Master
1032,USA,25-34 years old,Bachelor
1033,Brazil,35-44 years old,Master
1034,Poland,35-44 years old,Bachelor
1035,USA,55-64 years old,Bachelor
1039,Brazil,25-34 years old,Bachelor
1041,Poland,35-44 years old,Master
1042,France,18-24 years old,Bachelor
1044,Pakistan,25-34 years old,Bachelor
1052,USA,35-44 years old,Master
1053,Czech Republic,35-44 years old,Bachelor
1054,USA,45-54 years old,Master
1062,USA,25-34 years old,Bachelor
1064,Switzerland,45-54 years old,Professional
1065,UK,35-44 years old,Professional
1070,UK,45-54 years old,Master
1071,Germany,35-44 years old,Secondary school
1072,Russia,45-54 years old,Some College
1073,Germany,55-64 years old,Master
1075,USA,35-44 years old,Some College
1080,Czech Republic,25-34 years old,Bachelor
1083,Slovakia,25-34 years old,Master
1084,Switzerland,25-34 years old,Bachelor
1087,Israel,Prefer not to say,Bachelor
1091,Israel,55-64 years old,Master
1092,El Salvador,35-44 years old,Master
1093,Hungary,25-34 years old,Bachelor
1095,USA,25-34 years old,Bachelor
1096,Ukraine,25-34 years old,Master
1101,Italy,35-44 years old,Professional
1109,Netherlands,18-24 years old,Bachelor
1111,Turkey,45-54 years old,Bachelor
1113,Ukraine,45-54 years old,Bachelor
1115,Switzerland,18-24 years old,Other
1116,Israel,18-24 years old,Bachelor
1118,USA,25-34 years old,Master
1121,Latvia,18-24 years old,Secondary school
1123,Argentina,35-44 years old,Some College
1124,Brazil,25-34 years old,Bachelor
1125,UK,35-44 years old,Bachelor
1126,India,25-34 years old,Bachelor
1128,Peru,18-24 years old,Bachelor
1129,USA,25-34 years old,Some College
1134,France,35-44 years old,Other
1135,Germany,25-34 years old,Some College
1140,UK,45-54 years old,Some College
1141,Poland,25-34 years old,Master
1142,USA,18-24 years old,Bachelor
1145,USA,25-34 years old,Bachelor
1148,Italy,45-54 years old,Some College
1151,Brazil,25-34 years old,Master
1152,USA,35-44 years old,Some College
1157,Algeria,18-24 years old,Master
1159,Italy,18-24 years old,Secondary school
1164,Sweden,35-44 years old,Secondary school
1168,Italy,25-34 years old,Master
1171,Canada,45-54 years old,Bachelor
1172,Venezuela,25-34 years old,Bachelor
1176,USA,35-44 years old,Master
1177,USA,25-34 years old,Bachelor
1178,USA,55-64 years old,Master
1179,USA,18-24 years old,Some College
1180,USA,18-24 years old,Master
1181,USA,55-64 years old,Bachelor
1182,USA,35-44 years old,Bachelor
1185,USA,25-34 years old,Bachelor
1194,USA,25-34 years old,Bachelor
1207,USA,45-54 years old,Bachelor
1212,Malaysia,35-44 years old,Bachelor
1214,Finland,25-34 years old,Bachelor
1216,USA,25-34 years old,Associate degree
1219,USA,35-44 years old,Bachelor
1220,USA,55-64 years old,Some College
1222,USA,35-44 years old,Bachelor
1223,USA,18-24 years old,Some College
1224,Zimbabwe,25-34 years old,Bachelor
1225,USA,25-34 years old,Bachelor
1227,Greece,25-34 years old,Bachelor
1228,Georgia,18-24 years old,Bachelor
1231,Brazil,25-34 years old,Bachelor
1232,Belgium,35-44 years old,Master
1235,USA,25-34 years old,Bachelor
1238,Canada,35-44 years old,Bachelor
1240,Slovakia,25-34 years old,Master
1244,Argentina,55-64 years old,Secondary school
1249,Mexico,25-34 years old,Bachelor
1250,USA,25-34 years old,Bachelor
1251,Czech Republic,35-44 years old,Bachelor
1252,Belgium,35-44 years old,Bachelor
1259,Bulgaria,35-44 years old,Bachelor
1262,Germany,35-44 years old,Bachelor
1264,USA,35-44 years old,Bachelor
1267,Malta,25-34 years old,Bachelor
1278,India,45-54 years old,Master
1283,UK,55-64 years old,Bachelor
1285,USA,18-24 years old,Bachelor
1287,Romania,35-44 years old,Bachelor
1288,Germany,25-34 years old,Secondary school
1290,USA,55-64 years old,Bachelor
1296,UK,55-64 years old,Bachelor
1297,Germany,35-44 years old,Master
1299,Germany,18-24 years old,Some College
1300,Germany,18-24 years old,Some College
1309,USA,25-34 years old,Professional
1316,Poland,25-34 years old,Bachelor
1319,USA,45-54 years old,Master
1323,Russia,35-44 years old,Bachelor
1330,Brazil,35-44 years old,Associate degree
1331,USA,18-24 years old,Bachelor
1335,Uruguay,35-44 years old,Professional
1336,India,35-44 years old,Bachelor
1339,UK,25-34 years old,Bachelor
1342,Denmark,45-54 years old,Master
1343,Belgium,25-34 years old,Bachelor
1345,Nigeria,25-34 years old,Bachelor
1346,USA,35-44 years old,Bachelor
1349,USA,25-34 years old,Bachelor
1350,Germany,35-44 years old,Bachelor
1352,Israel,25-34 years old,Secondary school
1353,USA,45-54 years old,Bachelor
1355,Netherlands,45-54 years old,Master
1356,Lithuania,35-44 years old,Master
1357,Bulgaria,25-34 years old,Master
1361,Colombia,35-44 years old,Bachelor
1365,Germany,35-44 years old,Secondary school
1367,Spain,35-44 years old,Master
1370,USA,35-44 years old,Master
1373,Czech Republic,25-34 years old,Bachelor
1376,UK,25-34 years old,Some College
1380,France,25-34 years old,Master
1385,USA,35-44 years old,Professional
1386,Ukraine,18-24 years old,Some College
1388,Spain,45-54 years old,Professional
1390,Germany,35-44 years old,Bachelor
1391,Germany,35-44 years old,Bachelor
1399,Portugal,25-34 years old,Associate degree
1403,Ukraine,25-34 years old,Master
1404,Egypt,18-24 years old,Associate degree
1408,UK,35-44 years old,Bachelor
1410,Italy,35-44 years old,Some College
1413,India,25-34 years old,Bachelor
1414,Spain,35-44 years old,Master
1422,USA,25-34 years old,Bachelor
1425,USA,55-64 years old,Master
1428,USA,55-64 years old,Bachelor
1442,Switzerland,18-24 years old,Secondary school
1444,France,35-44 years old,Master
1448,Poland,25-34 years old,Bachelor
1452,Germany,35-44 years old,Master
1453,USA,45-54 years old,Bachelor
1463,Mexico,25-34 years old,Bachelor
1465,India,18-24 years old,Bachelor
1471,Russia,18-24 years old,Secondary school
1472,Turkey,25-34 years old,Primary
1475,Ireland,35-44 years old,Bachelor
1476,USA,25-34 years old,Bachelor
1478,Germany,25-34 years old,Master
1479,Poland,35-44 years old,Master
1481,Austria,35-44 years old,Master
1483,Albania,18-24 years old,Some College
1487,USA,45-54 years old,Bachelor
1489,USA,25-34 years old,Bachelor
1490,USA,25-34 years old,Bachelor
1493,Ukraine,45-54 years old,Professional
1495,USA,25-34 years old,Some College
1496,India,25-34 years old,Bachelor
1503,USA,35-44 years old,Bachelor
1507,USA,35-44 years old,Master
1510,Turkey,18-24 years old,Bachelor
1513,Jordan,35-44 years old,Bachelor
1516,Brazil,25-34 years old,Master
1518,USA,25-34 years old,Some College
1522,Germany,35-44 years old,Master
1523,Egypt,18-24 years old,Bachelor
1527,India,25-34 years old,Master
1529,Ukraine,25-34 years old,Master
1531,Pakistan,18-24 years old,Bachelor
1533,Germany,35-44 years old,Secondary school
1535,Netherlands,25-34 years old,Bachelor
1546,USA,35-44 years old,Professional
1548,USA,18-24 years old,Bachelor
1549,USA,18-24 years old,Some College
1557,Israel,35-44 years old,Secondary school
1560,Ukraine,18-24 years old,Other
1562,Germany,45-54 years old,Some College
1563,Italy,18-24 years old,Secondary school
1566,Afghanistan,25-34 years old,Bachelor
1572,Brazil,25-34 years old,Bachelor
1573,Canada,18-24 years old,Some College
1574,Germany,35-44 years old,Bachelor
1577,USA,25-34 years old,Bachelor
1580,Brazil,35-44 years old,Some College
1581,Canada,18-24 years old,Master
1582,USA,25-34 years old,Bachelor
1591,Mexico,35-44 years old,Bachelor
1594,Argentina,35-44 years old,Some College
1595,USA,Under 18 years old,Secondary school
1598,Slovenia,35-44 years old,Bachelor
1607,UK,25-34 years old,Bachelor
1615,Pakistan,18-24 years old,Bachelor
1627,Peru,25-34 years old,Some College
1628,USA,35-44 years old,Bachelor
1629,Slovenia,45-54 years old,Bachelor
1636,Austria,25-34 years old,Master
1639,USA,Prefer not to say,Bachelor
1641,Netherlands,25-34 years old,Bachelor
1650,USA,45-54 years old,Bachelor
1653,Palestine,25-34 years old,Bachelor
1655,Ecuador,25-34 years old,Bachelor
1656,Germany,25-34 years old,Bachelor
1659,Bangladesh,25-34 years old,Bachelor
1660,Turkey,25-34 years old,Bachelor
1664,Czech Republic,25-34 years old,Master
1669,USA,25-34 years old,Bachelor
1670,Spain,25-34 years old,Master
1672,USA,25-34 years old,Bachelor
1678,Paraguay,25-34 years old,Some College
1680,Ukraine,18-24 years old,Bachelor
1685,India,18-24 years old,Bachelor
1686,Italy,55-64 years old,Some College
1690,Paraguay,25-34 years old,Associate degree
1691,Italy,18-24 years old,Bachelor
1695,Germany,25-34 years old,Master
1699,Brazil,25-34 years old,Bachelor
1701,Canada,65 years or older,Some College
1703,Lithuania,25-34 years old,Master
1704,Slovakia,45-54 years old,Master
1705,Finland,25-34 years old,Bachelor
1706,Canada,35-44 years old,Bachelor
1710,USA,35-44 years old,Bachelor
1714,Poland,18-24 years old,Bachelor
1716,Brazil,35-44 years old,Some College
1718,France,25-34 years old,Master
1727,Germany,25-34 years old,Bachelor
1728,USA,35-44 years old,Bachelor
1729,USA,Under 18 years old,Secondary school
1734,Ukraine,25-34 years old,Master
1735,UK,55-64 years old,Bachelor
1736,Ethiopia,25-34 years old,Master
1742,USA,45-54 years old,Associate degree
1744,New Zealand,45-54 years old,Bachelor
1750,Denmark,45-54 years old,Master
1758,Ghana,25-34 years old,Bachelor
1768,Netherlands,35-44 years old,Bachelor
1772,Greece,35-44 years old,Bachelor
1773,Portugal,45-54 years old,Professional
1774,USA,45-54 years old,Master
1775,USA,35-44 years old,Bachelor
1788,France,35-44 years old,Master
1793,Belgium,25-34 years old,Master
1794,Guatemala,45-54 years old,Bachelor
1799,USA,45-54 years old,Bachelor
1800,Canada,45-54 years old,Professional
1801,Brazil,25-34 years old,Secondary school
1803,Germany,35-44 years old,Master
1805,USA,55-64 years old,Bachelor
1806,France,35-44 years old,Secondary school
1808,Slovakia,25-34 years old,Secondary school
1809,Ukraine,25-34 years old,Bachelor
1812,Brazil,25-34 years old,Bachelor
1814,Brazil,25-34 years old,Bachelor
1817,USA,35-44 years old,Bachelor
1818,Brazil,25-34 years old,Bachelor
1831,Italy,25-34 years old,Bachelor
1832,France,35-44 years old,Master
1834,Belgium,45-54 years old,Master
1837,Italy,45-54 years old,Professional
1841,Ukraine,35-44 years old,Master
1843,UK,55-64 years old,Bachelor
1844,USA,35-44 years old,Bachelor
1848,UK,45-54 years old,Some College
1850,Germany,35-44 years old,Secondary school
1851,Brazil,35-44 years old,Master
1854,Germany,45-54 years old,Professional
1856,Switzerland,25-34 years old,Associate degree
1859,Netherlands,18-24 years old,Secondary school
1866,Denmark,25-34 years old,Associate degree
1869,USA,25-34 years old,Bachelor
1870,Portugal,35-44 years old,Some College
1876,Germany,35-44 years old,Bachelor
1880,Bosnia and Herzegovina,35-44 years old,Master
1897,Portugal,35-44 years old,Master
1899,Ukraine,35-44 years old,Master
1901,USA,35-44 years old,Bachelor
1902,Netherlands,25-34 years old,Master
1903,USA,35-44 years old,Bachelor
1905,Germany,25-34 years old,Master
1907,Denmark,45-54 years old,Master
1908,USA,25-34 years old,Bachelor
1910,Germany,25-34 years old,Master
1912,Czech Republic,45-54 years old,Master
1916,El Salvador,35-44 years old,Bachelor
1921,Israel,35-44 years old,Bachelor
1923,USA,35-44 years old,Master
1925,Austria,18-24 years old,Master
1926,Poland,25-34 years old,Master
1928,Poland,45-54 years old,Master
1929,Norway,25-34 years old,Some College
1931,UK,45-54 years old,Bachelor
1934,UK,35-44 years old,Secondary school
1938,Sweden,35-44 years old,Master
1940,USA,45-54 years old,Bachelor
1943,Romania,18-24 years old,Some College
1944,France,35-44 years old,Bachelor
1946,Brazil,25-34 years old,Master
1951,USA,55-64 years old,Master
1955,Ukraine,25-34 years old,Some College
1957,UK,25-34 years old,Master
1958,Poland,25-34 years old,Bachelor
1959,Germany,18-24 years old,Secondary school
1962,Ukraine,25-34 years old,Bachelor
1963,Canada,25-34 years old,Secondary school
1964,USA,35-44 years old,Bachelor
1971,USA,18-24 years old,Bachelor
1972,Argentina,45-54 years old,Some College
1974,USA,35-44 years old,Master
1975,USA,25-34 years old,Master
1976,Costa Rica,45-54 years old,Some College
1978,Japan,25-34 years old,Bachelor
1979,Greece,35-44 years old,Master
1980,UK,45-54 years old,Master
1985,Sweden,25-34 years old,Master
1986,UK,45-54 years old,Master
1989,Australia,18-24 years old,Some College
1991,Argentina,35-44 years old,Some College
1993,Australia,35-44 years old,Associate degree
1994,Greece,45-54 years old,Master
1996,Ukraine,18-24 years old,Bachelor
2013,USA,55-64 years old,Associate degree
2015,Canada,45-54 years old,Associate degree
2016,Greece,18-24 years old,Some College
2017,Kenya,18-24 years old,Bachelor
2019,USA,25-34 years old,Bachelor
2022,Ireland,18-24 years old,Bachelor
2031,Switzerland,25-34 years old,Bachelor
2032,UK,45-54 years old,Bachelor
2034,Argentina,45-54 years old,Some College
2036,New Zealand,35-44 years old,Bachelor
2038,Netherlands,35-44 years old,Master
2042,Ukraine,25-34 years old,Bachelor
2045,Israel,35-44 years old,Secondary school
2049,Germany,35-44 years old,Bachelor
2054,Sweden,45-54 years old,Some College
2057,USA,45-54 years old,Bachelor
2059,France,25-34 years old,Some College
2060,UK,35-44 years old,Bachelor
2062,Israel,35-44 years old,Bachelor
2071,Czech Republic,18-24 years old,Bachelor
2081,UK,55-64 years old,Bachelor
2082,USA,35-44 years old,Bachelor
2083,Egypt,25-34 years old,Bachelor
2088,USA,35-44 years old,Bachelor
2089,Germany,25-34 years old,Bachelor
2093,Brazil,35-44 years old,Associate degree
2094,USA,45-54 years old,Bachelor
2095,Ireland,25-34 years old,Bachelor
2096,USA,45-54 years old,Some College
2099,Canada,35-44 years old,Bachelor
2100,USA,45-54 years old,Some College
2103,USA,25-34 years old,Associate degree
2105,Germany,35-44 years old,Bachelor
2110,Armenia,18-24 years old,Some College
2113,UK,35-44 years old,Bachelor
2116,USA,Under 18 years old,Secondary school
2117,USA,18-24 years old,Secondary school
2118,Nigeria,35-44 years old,Master
2120,Russia,35-44 years old,Some College
2122,France,35-44 years old,Master
2123,Poland,35-44 years old,Master
2128,Australia,35-44 years old,Bachelor
2139,USA,45-54 years old,Bachelor
2140,USA,35-44 years old,Secondary school
2141,USA,35-44 years old,Bachelor
2142,Poland,35-44 years old,Bachelor
2147,Canada,25-34 years old,Some College
2153,USA,35-44 years old,Bachelor
2154,Poland,25-34 years old,Master
2156,Estonia,18-24 years old,Some College
2158,USA,35-44 years old,Bachelor
2159,Germany,18-24 years old,Secondary school
2161,Bosnia and Herzegovina,18-24 years old,Some College
2164,Kenya,25-34 years old,Bachelor
2165,Nigeria,25-34 years old,Bachelor
2166,Spain,25-34 years old,Bachelor
2171,USA,25-34 years old,Secondary school
2172,USA,35-44 years old,Bachelor
2173,USA,45-54 years old,Master
2175,USA,45-54 years old,Bachelor
2176,USA,25-34 years old,Bachelor
2178,USA,35-44 years old,Master
2180,USA,35-44 years old,Professional
2181,USA,35-44 years old,Bachelor
2182,Portugal,25-34 years old,Bachelor
2183,Germany,25-34 years old,Master
2187,Ireland,25-34 years old,Some College
2189,USA,18-24 years old,Master
2190,USA,35-44 years old,Bachelor
2191,Ukraine,25-34 years old,Bachelor
2193,Czech Republic,18-24 years old,Secondary school
2194,Germany,18-24 years old,Master
2196,Denmark,45-54 years old,Some College
2199,Switzerland,18-24 years old,Associate degree
2203,Canada,18-24 years old,Bachelor
2204,Mexico,35-44 years old,Bachelor
2213,USA,Under 18 years old,Primary
2215,Nicaragua,35-44 years old,Some College
2219,UK,35-44 years old,Bachelor
2221,Argentina,65 years or older,Master
2222,Mexico,25-34 years old,Bachelor
2224,USA,25-34 years old,Bachelor
2226,Philippines,18-24 years old,Some College
2228,Spain,45-54 years old,Secondary school
2236,Poland,18-24 years old,Bachelor
2246,USA,45-54 years old,Bachelor
2248,USA,25-34 years old,Some College
2255,USA,35-44 years old,Master
2257,Spain,25-34 years old,Secondary school
2259,USA,18-24 years old,Master
2261,Ukraine,25-34 years old,Bachelor
2264,Ecuador,55-64 years old,Master
2267,USA,45-54 years old,Bachelor
2269,Brazil,35-44 years old,Master
2275,USA,55-64 years old,Master
2276,Chile,25-34 years old,Bachelor
2284,USA,25-34 years old,Bachelor
2285,USA,45-54 years old,Master
2286,Switzerland,25-34 years old,Master
